Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,BL,20-Jul-21,1375.45,2098.95,2098.95,2098.95,2098.95,2098.95,2098.95,86189,180906401.6,1,-,-
RELIANCE,EQ,20-Jul-21,2098.95,2099.5,2108,2084,2089.95,2093.8,2097.18,3111185,6524718783,105619,1089396,35.02
RELIANCE,EQ,22-Jul-21,2093.8,2119,2123.9,2098.15,2121.5,2120.7,2111.6,3679260,7769110030,133510,1995464,54.24
RELIANCE,BL,23-Jul-21,2098.95,2120.7,2120.7,2120.7,2120.7,2120.7,2120.7,89355,189495148.5,1,-,-
RELIANCE,EQ,23-Jul-21,2120.7,2134.45,2134.45,2102.05,2104,2105.7,2119.06,4585938,9717885501,143981,2219555,48.4
RELIANCE,EQ,26-Jul-21,2105.7,2108,2121,2071.1,2073.9,2076.85,2092.34,5717830,11963623196,193266,2229836,39
RELIANCE,BL,27-Jul-21,2120.7,2076.85,2076.85,2076.85,2076.85,2076.85,2076.85,80756,167718098.6,1,-,-
RELIANCE,EQ,27-Jul-21,2076.85,2076.8,2083.7,2042,2054,2055,2062,4995516,10300736942,196342,2415095,48.35
RELIANCE,EQ,28-Jul-21,2055,2058,2058,2016.25,2035,2037.35,2033.86,5952355,12106241436,222240,3270667,54.95
RELIANCE,EQ,29-Jul-21,2037.35,2054,2074.4,2043.4,2054.3,2053.25,2057.2,6352886,13069140427,203791,3910056,61.55
RELIANCE,EQ,30-Jul-21,2053.25,2058,2067.95,2031.1,2037,2035.3,2049.03,5238304,10733444605,158088,3003800,57.34
RELIANCE,EQ,2-Aug-21,2035.3,2054.3,2079.4,2041.15,2068.5,2072.5,2067.46,5041934,10424020796,164715,2991501,59.33
RELIANCE,EQ,3-Aug-21,2072.5,2090,2091,2064.2,2090,2087.75,2078.84,5453682,11337335627,137882,2965050,54.37
RELIANCE,EQ,4-Aug-21,2087.75,2094.4,2114,2087,2105,2103.75,2103.18,6077861,12782821703,188340,3542035,58.28
RELIANCE,EQ,5-Aug-21,2103.75,2114.3,2154.8,2104.25,2131,2134.25,2127.24,9807831,20863638485,249218,4572290,46.62
RELIANCE,EQ,6-Aug-21,2134.25,2129.95,2146.95,2078.75,2090,2089.05,2101.07,7670583,16116399922,225682,3217925,41.95
RELIANCE,EQ,9-Aug-21,2089.05,2081,2089.8,2066.5,2078.5,2077.15,2075.98,3458546,7179873286,147892,1588798,45.94
RELIANCE,EQ,10-Aug-21,2077.15,2082,2113,2073.75,2085,2088.05,2095.18,5500708,11524960575,171235,2144258,38.98
RELIANCE,EQ,11-Aug-21,2088.05,2096.95,2120,2083.4,2115,2117.3,2103.58,4238859,8916794683,138291,2089484,49.29
RELIANCE,EQ,12-Aug-21,2117.3,2124.9,2126.2,2105,2109.8,2110.5,2115.11,3755507,7943326100,114345,1900505,50.61
RELIANCE,EQ,13-Aug-21,2110.5,2117.3,2149.9,2108.95,2143,2145.65,2132.45,5898384,12578027784,187810,3269124,55.42
RELIANCE,EQ,16-Aug-21,2145.65,2149.35,2203,2128.15,2169,2173.5,2177.41,10123204,22042343432,290119,4185061,41.34
RELIANCE,EQ,17-Aug-21,2173.5,2168.85,2185.2,2147.85,2163,2164.25,2167.16,5841743,12659986994,190350,3057597,52.34
RELIANCE,EQ,18-Aug-21,2164.25,2174,2186.8,2152.6,2168,2172.65,2170.19,4650008,10091414053,146613,2287876,49.2
RELIANCE,EQ,20-Aug-21,2172.65,2143,2172,2137,2140.1,2148.25,2155.63,4350228,9377502602,147112,1877339,43.15
RELIANCE,EQ,23-Aug-21,2148.25,2174,2174,2132.3,2161.15,2162.35,2156.97,4547802,9809454491,143268,2336976,51.39
RELIANCE,EQ,24-Aug-21,2162.35,2165.05,2192,2155.6,2178,2183.7,2174.28,5475452,11905165197,173479,3050200,55.71
RELIANCE,EQ,25-Aug-21,2183.7,2185.4,2220,2180.1,2201,2202.6,2204.22,6175126,13611364534,198304,2434419,39.42
RELIANCE,EQ,26-Aug-21,2202.6,2208,2244.9,2205,2232,2230.45,2230.28,8579105,19133818234,248660,4241826,49.44
RELIANCE,EQ,27-Aug-21,2230.45,2237,2242.75,2216.05,2225,2227.4,2228.28,4836812,10777769128,152317,2665237,55.1
RELIANCE,EQ,30-Aug-21,2227.4,2250,2275.85,2236.8,2273.75,2270.25,2261.25,6473487,14638152006,206768,3861994,59.66
RELIANCE,EQ,31-Aug-21,2270.25,2276.9,2283.75,2242.25,2257,2258.15,2257.63,12223037,27595093541,206759,6602508,54.02
RELIANCE,EQ,1-Sep-21,2258.15,2273,2292.9,2263,2266,2267.1,2274.28,5143640,11698056163,173178,2684394,52.19
RELIANCE,EQ,2-Sep-21,2267.1,2255,2307.8,2255,2293,2294.4,2288.72,4595048,10516781284,206002,2278475,49.59
RELIANCE,EQ,3-Sep-21,2294.4,2310,2395,2302.5,2389.65,2388.5,2356.29,14151629,33345403716,446968,4903229,34.65
RELIANCE,EQ,6-Sep-21,2388.5,2413,2480,2412,2429,2425.6,2445.46,15525644,37967265940,496545,5627874,36.25
RELIANCE,EQ,7-Sep-21,2425.6,2430,2458,2412,2439,2440.9,2437.65,8006968,19518192089,256461,3224702,40.27
RELIANCE,EQ,8-Sep-21,2440.9,2452,2454,2406.65,2430,2431.35,2429.2,6600210,16033248252,213942,3515264,53.26
RELIANCE,EQ,9-Sep-21,2431.35,2427.9,2437.85,2416.1,2424.1,2425.6,2424.34,4136538,10028369652,194645,2406762,58.18
RELIANCE,EQ,13-Sep-21,2425.6,2433,2433,2368.05,2369.8,2371.55,2381.94,7527598,17930286910,327407,4414702,58.65
RELIANCE,EQ,14-Sep-21,2371.55,2375,2394,2366,2370.5,2368.45,2377.55,4111205,9774584168,153291,2491875,60.61
RELIANCE,EQ,15-Sep-21,2368.45,2368.5,2395.75,2368.5,2379.4,2378.3,2380.39,4186300,9965045383,168130,2310144,55.18
RELIANCE,EQ,16-Sep-21,2378.3,2381.55,2436.75,2367,2424,2428.2,2408.55,6206657,14949050570,214010,2473588,39.85
RELIANCE,EQ,17-Sep-21,2428.2,2446,2455.85,2375.6,2387,2390.55,2410.13,16098099,38798580127,278098,9460717,58.77
RELIANCE,EQ,20-Sep-21,2390.55,2372.1,2418.35,2370,2391.85,2394.35,2398.57,5436385,13039553487,171011,3042705,55.97
RELIANCE,EQ,21-Sep-21,2394.35,2405,2416.6,2384,2400,2404.7,2401.93,4576111,10991510852,149803,2365643,51.7
RELIANCE,EQ,22-Sep-21,2404.7,2408,2442,2398.25,2430.8,2430.5,2426.47,5074612,12313409794,179090,2811116,55.4
RELIANCE,EQ,23-Sep-21,2430.5,2447.4,2497,2445.5,2488.1,2489.9,2475.75,7267883,17993432143,255176,3910090,53.8
RELIANCE,EQ,24-Sep-21,2489.9,2503.55,2505.45,2472,2479,2482.7,2488.36,7011181,17446321055,234214,4228344,60.31
RELIANCE,EQ,27-Sep-21,2482.7,2487,2529.9,2475.3,2527,2524.45,2510.93,7095022,17815116545,224209,4184695,58.98
RELIANCE,EQ,28-Sep-21,2524.45,2534,2564.9,2512.8,2545,2548.05,2539.99,8323269,21141019462,229286,4321030,51.92
RELIANCE,EQ,29-Sep-21,2548.05,2570,2570,2520.05,2530,2527.85,2536.91,4485721,11379866281,166259,2223603,49.57
RELIANCE,EQ,30-Sep-21,2527.85,2525,2534.6,2500.35,2511,2519.25,2517.46,6272085,15789702475,173121,3408378,54.34
RELIANCE,EQ,1-Oct-21,2519.25,2501.95,2539.8,2495,2525,2523.7,2521.05,4134544,10423389476,144149,2032482,49.16
RELIANCE,BL,4-Oct-21,2076.85,2523.7,2523.7,2523.7,2523.7,2523.7,2523.7,2705236,6827204093,1,-,-
RELIANCE,EQ,4-Oct-21,2523.7,2553,2574.85,2537.05,2558,2556.15,2556.97,5038910,12884346776,163519,2674027,53.07
RELIANCE,EQ,5-Oct-21,2556.15,2555.1,2612,2547.35,2610.25,2609.2,2582.03,6245770,16126767140,190163,3235964,51.81
RELIANCE,EQ,6-Oct-21,2609.2,2619.95,2619.95,2551.1,2554,2559.85,2585.47,4734472,12240833225,175209,2432010,51.37
RELIANCE,EQ,7-Oct-21,2559.85,2595,2598.75,2567.7,2572,2572.4,2583.27,2924370,7554440823,122777,1479822,50.6
